label,text
World,Venezuelans Vote Early in Referendum on Chavez Rule (Reuters). Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.
World,"Annan Vows to Protect U.N. Staff from Attacks (Reuters). Reuters - U.N. Secretary-General Kofi Annan called\at an emotional tribute on Thursday for the prosecution of\those behind the ""cold-blooded murder"" of 22 people at the\United Nations office in Baghdad one year ago."
World,"Kremlin candidate for Chechen presidency set to win. DAVID HARDAKER: In Soviet times, it was a long-held tradition to immortalise leaders by renaming streets and major cities after them."
World,Explosives find confirms terror link. EXPLOSIVES have been found in the wreckage of one of the two Russian airliners that crashed near-simultaneously this week. The confirmation that at least one of the aircraft was brought down by a terrorist 
World,"No evidence of hijack bid found before jet explosions. MOSCOW -- Russia's transport minister, citing a  quot;black box quot; recording from one of two planes that crashed minutes apart last week, said yesterday there was no evidence of a hijacking attempt or any other disturbance before explosions aboard the jetliners."
World,"Bush Challenges Kerry on Jobs, Economy (AP). AP - President Bush dropped in on one of the fall campaign's most contested states for the second Sunday in a row, telling cheering partisans that his economic policies are building prosperity while Democrat John Kerry ""wants to tax your jobs."""
World,"Clinical drug trials 'distorted'. More openness is needed over clinical drug trial results  to stop them being distorted, leading medical journals say."
World,"Old pro Torigian settles in to second act. He has the look of Mr. Everyman in retirement. He wears slacks and a sweater, nothing formal, and welcomes a midday guest to his two-story Peabody house, nothing pretentious, though a comfortable step up from the three-decker of his youth. He relaxes on a couch and, pointing to the window, describes how he can walk easily to the homes of ..."
World,"Blair, Ahern press Northern Ireland rivals in talks grind (AFP). AFP - Prime Ministers Tony Blair of Britain and Bertie Ahern of Ireland dug in with Northern Ireland's rival Catholic and Protestant parties for a second day of talks aimed at restoring the province's power-sharing government."
World,"Effort to Extend Tax Cuts Gains Ground (AP). AP - Republican leaders, eager to deliver a pre-election victory to President Bush, moved closer to agreement Monday night on legislation needed to extend three popular middle-class tax cuts that are set to expire this year."
World,"Flood's toll dire for Haitian city . GONAIVES, Haiti -- Around the corner from a road on which bloated corpses of cows and pigs floated in rivers of mud, James Louis sat on a mound of dirt, selling plastic sandals scavenged from the dead."
World,US pounds militant positions in Iraq. BAGHDAD - US jets pounded suspected militant positions in a Baghdad slum Monday as two car bombs killed seven Iraqi national guardsmen and a rocket barrage hit a police academy.
World,"Bomb scare diverts BA flight. A British Airways passenger plane was forced yesterday to make an emergency landing, escorted by two fighter jets, after a security scare."
World,"Guilty plea on island sex abuse. ONE of the seven men on trial for sexual abuse on remote Pacific island of Pitcairn has pleaded guilty to three of the four charges he faced, including indecent assault against a 12-year-old girl."
World,"Egyptian cooperation insufficient in rescue work: Israeli fire &lt;b&gt;...&lt;/b&gt;. Israel #39;s fire chief complained of insufficient cooperation from Egypt on Friday in rescue efforts at an Egyptian Red Sea resort hotel, torn apart by a bomb blast."
World,Action Urged over Soaring Greenhouse Gas Levels. The Governments chief scientist will today highlight the need for action in combating global warning amid reports the main greenhouse gas is rising sharply.
World,"Five Churches, Hospital Bombed in Baghdad. BAGHDAD, Iraq - Bombs exploded outside five churches in Baghdad and mortar rounds hit near a hospital and a hotel frequented by foreigners, as U.S. forces loosened a cordon around the Sunni insurgent stronghold of Fallujah after several days of clashes with rebels there..."
World,"No decision yet on redeployment of troops in Iraq: Blair (AFP). AFP - Britain has not yet decided whether to send 650 troops to relieve US forces in Iraq, Prime Minister Tony Blair said Wednesday, while rejecting suggestions that such a move would be aimed at boosting US President George W. Bush's electoral campaign."
World,"Suicide car bombs kill 20 Iraqis. BAGHDAD/FALLUJA, OCT 23: A suicide car bomb exploded near a US marine base in western Iraq on Saturday, killing 16 Iraqi policemen and wounding up to 40."
World,"Arafat in pain but expected to recover-Shaath. Palestinian leader Yasser Arafat is in pain because of an intestine problem but his doctors expect him to be feeling much better in a few days, the Palestinian Authority #39;s foreign minister said today."
World,"Explosion Hits al-Arabiya TV Station. October 30, 2004 - Police in Iraq say 16 people have been injured after a car bomb exploded outside the offices of the Al-Arabiya television station in central Baghdad."
